Dataset: CIFAR10.
Files already downloaded and verified
Files already downloaded and verified
10
The number of class in our training set is  10
Batch size: 2048 Number of channels: 3 input height: 32 input width: 32
# of model parameters: 11181642
<class 'models.resnet.ResNet'>
[epoch: 80] (1/25) | Loss: 0.3187 | top1: 96.5332 | top5: 100.0000
[epoch: 80] (11/25) | Loss: 0.2984 | top1: 97.7051 | top5: 99.9956
[epoch: 80] (21/25) | Loss: 0.2959 | top1: 97.8027 | top5: 99.9930
[epoch: 81] (1/25) | Loss: 0.3109 | top1: 97.2168 | top5: 100.0000
[epoch: 81] (11/25) | Loss: 0.3416 | top1: 95.9517 | top5: 99.9956
[epoch: 81] (21/25) | Loss: 0.3218 | top1: 96.6820 | top5: 99.9977
[epoch: 82] (1/25) | Loss: 0.2743 | top1: 98.7305 | top5: 100.0000
[epoch: 82] (11/25) | Loss: 0.2683 | top1: 98.7172 | top5: 100.0000
[epoch: 82] (21/25) | Loss: 0.2803 | top1: 98.2422 | top5: 99.9977
[epoch: 83] (1/25) | Loss: 0.3046 | top1: 97.3633 | top5: 100.0000
[epoch: 83] (11/25) | Loss: 0.2819 | top1: 98.0868 | top5: 100.0000
[epoch: 83] (21/25) | Loss: 0.2802 | top1: 98.1445 | top5: 100.0000
[epoch: 84] (1/25) | Loss: 0.3153 | top1: 96.8262 | top5: 100.0000
[epoch: 84] (11/25) | Loss: 0.2914 | top1: 97.6474 | top5: 99.9956
[epoch: 84] (21/25) | Loss: 0.2788 | top1: 98.1771 | top5: 99.9977
[epoch: 85] (1/25) | Loss: 0.2693 | top1: 98.0469 | top5: 100.0000
[epoch: 85] (11/25) | Loss: 0.2634 | top1: 98.4908 | top5: 99.9956
[epoch: 85] (21/25) | Loss: 0.2676 | top1: 98.3236 | top5: 99.9953
[epoch: 86] (1/25) | Loss: 0.2821 | top1: 97.4121 | top5: 100.0000
[epoch: 86] (11/25) | Loss: 0.2749 | top1: 97.9270 | top5: 100.0000
[epoch: 86] (21/25) | Loss: 0.2775 | top1: 97.8376 | top5: 100.0000
[epoch: 87] (1/25) | Loss: 0.2657 | top1: 98.4863 | top5: 100.0000
[epoch: 87] (11/25) | Loss: 0.2794 | top1: 97.7228 | top5: 99.9911
[epoch: 87] (21/25) | Loss: 0.2708 | top1: 98.0887 | top5: 99.9953
[epoch: 88] (1/25) | Loss: 0.2662 | top1: 98.2422 | top5: 100.0000
[epoch: 88] (11/25) | Loss: 0.2785 | top1: 97.7273 | top5: 99.9956
[epoch: 88] (21/25) | Loss: 0.2691 | top1: 97.9980 | top5: 99.9977
[epoch: 89] (1/25) | Loss: 0.3205 | top1: 96.0938 | top5: 99.9512
[epoch: 89] (11/25) | Loss: 0.2749 | top1: 97.7450 | top5: 99.9911
[epoch: 89] (21/25) | Loss: 0.2695 | top1: 97.8841 | top5: 99.9953
[epoch: 90] (1/25) | Loss: 0.2751 | top1: 97.5586 | top5: 100.0000
[epoch: 90] (11/25) | Loss: 0.2716 | top1: 98.0114 | top5: 99.9867
[epoch: 90] (21/25) | Loss: 0.2842 | top1: 97.4307 | top5: 99.9930
[epoch: 91] (1/25) | Loss: 0.2741 | top1: 97.8027 | top5: 99.9512
[epoch: 91] (11/25) | Loss: 0.2681 | top1: 97.8516 | top5: 99.9956
[epoch: 91] (21/25) | Loss: 0.2613 | top1: 98.1724 | top5: 99.9977
[epoch: 92] (1/25) | Loss: 0.2763 | top1: 97.8516 | top5: 100.0000
[epoch: 92] (11/25) | Loss: 0.2607 | top1: 98.2821 | top5: 100.0000
[epoch: 92] (21/25) | Loss: 0.2774 | top1: 97.6725 | top5: 99.9953
[epoch: 93] (1/25) | Loss: 0.2697 | top1: 97.6074 | top5: 100.0000
[epoch: 93] (11/25) | Loss: 0.2809 | top1: 97.3455 | top5: 99.9911
[epoch: 93] (21/25) | Loss: 0.2828 | top1: 97.2493 | top5: 99.9907
[epoch: 94] (1/25) | Loss: 0.2712 | top1: 97.6074 | top5: 100.0000
[epoch: 94] (11/25) | Loss: 0.2787 | top1: 97.4343 | top5: 100.0000
[epoch: 94] (21/25) | Loss: 0.2761 | top1: 97.5958 | top5: 100.0000
[epoch: 95] (1/25) | Loss: 0.2377 | top1: 99.0234 | top5: 100.0000
